time,temp,dwpt,rhum,prcp,wspd,wdir,pres
2022-06-26 00:00:00,7.566666666666667,2.2333333333333334,69.33333333333333,0.0,9.866666666666667,146.66666666666666,1030.9333333333334
2022-06-26 01:00:00,7.066666666666666,2.5666666666666664,73.33333333333333,0.0,7.466666666666666,103.33333333333333,1030.4333333333334
2022-06-26 02:00:00,7.233333333333333,2.966666666666667,74.33333333333333,0.0,7.933333333333334,106.66666666666667,1030.0666666666666
2022-06-26 03:00:00,6.866666666666667,3.4,79.0,0.0,7.933333333333333,113.33333333333333,1029.6000000000001
2022-06-26 04:00:00,6.566666666666666,3.533333333333333,81.0,0.0,7.333333333333333,120.0,1029.8999999999999
2022-06-26 05:00:00,6.233333333333333,3.733333333333333,84.33333333333333,0.0,5.533333333333332,140.0,1029.7333333333333
2022-06-26 06:00:00,5.833333333333333,3.4,84.33333333333333,0.0,6.133333333333333,113.33333333333333,1029.2
2022-06-26 07:00:00,6.2,3.533333333333333,83.0,0.0,10.466666666666667,96.66666666666667,1027.8
2022-06-26 08:00:00,6.5,4.166666666666667,85.33333333333333,0.0,11.066666666666668,83.33333333333333,1026.7333333333333
2022-06-26 09:00:00,6.7,3.9,82.66666666666667,0.0,8.533333333333333,100.0,1026.7666666666667
2022-06-26 10:00:00,6.533333333333332,3.233333333333333,80.0,0.0,9.866666666666667,196.66666666666666,1027.0
2022-06-26 11:00:00,6.166666666666667,2.6,78.66666666666667,0.0,7.933333333333334,70.0,1027.0333333333333
2022-06-26 12:00:00,6.8,3.4,79.33333333333333,0.0,8.666666666666666,70.0,1027.2666666666667
2022-06-26 13:00:00,7.6000000000000005,3.966666666666667,78.33333333333333,0.0,7.466666666666666,70.0,1027.4333333333334
2022-06-26 14:00:00,8.866666666666667,4.6,74.66666666666667,0.0,10.0,160.0,1027.6333333333332
2022-06-26 15:00:00,9.866666666666667,4.8,70.66666666666667,0.0,13.6,140.0,1026.5666666666666
2022-06-26 16:00:00,10.1,4.233333333333333,67.0,0.03333333333333333,11.066666666666668,160.0,1025.8
2022-06-26 17:00:00,10.1,4.533333333333333,68.33333333333333,0.0,14.200000000000001,153.33333333333334,1024.9666666666667
2022-06-26 18:00:00,9.9,4.3,68.0,0.0,10.0,153.33333333333334,1024.1
2022-06-26 19:00:00,9.966666666666667,4.333333333333333,68.0,0.0,9.266666666666667,160.0,1023.4666666666667
2022-06-26 20:00:00,9.733333333333333,4.133333333333334,68.0,0.0,9.866666666666667,160.0,1023.0
